1784549016470	geckodriver	INFO	Listening on 127.0.0.1:4444
1784549016470	webdriver::server	TRACE	Build standard route for /status
1784549016471	webdriver::server	TRACE	Build standard route for /session
1784549016471	webdriver::server	TRACE	Build standard route for /session/{sessionId}
1784549016471	webdriver::server	TRACE	Build standard route for /session/{sessionId}/url
1784549016471	webdriver::server	TRACE	Build standard route for /session/{sessionId}/url
1784549016471	webdriver::server	TRACE	Build standard route for /session/{sessionId}/back
1784549016471	webdriver::server	TRACE	Build standard route for /session/{sessionId}/forward
1784549016471	webdriver::server	TRACE	Build standard route for /session/{sessionId}/refresh
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/title
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/source
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/handles
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/new
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/size
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/size
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/position
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/position
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/rect
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/rect
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/minimize
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/maximize
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/fullscreen
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/frame
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/frame/parent
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/element
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/elements
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/elements
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/shadow/{shadowId}/element
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/shadow/{shadowId}/elements
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/active
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/shadow
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/displayed
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/selected
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/attribute/{name}
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/property/{name}
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/css/{propertyName}
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/text
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/computedlabel
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/computedrole
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/name
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/rect
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/enabled
1784549016472	webdriver::server	TRACE	Build standard route for /session/{sessionId}/execute/sync
